	Test Accuracy	Test Top-4 Accuracy	Training Accuracy	Training Top-4 Accuracy	Validation Accuracy	Validation Top-4 Accuracy	denseNodes	dropout1	dropout2	featureVectorString	outputshape	self
30	0.8500000007947286	0.9900000007947286	0.9886014905743095	1.0	0.8756567428700769	0.9912434325744308	256	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBC1C419B0>
31	0.8700000007947286	0.9933333333333333	0.9916703200350724	1.0	0.8686514899734857	0.9947460595446584	256	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBC91EB630>
32	0.8633333325386048	0.99	0.9921087242437527	1.0	0.8791593698403046	0.9947460595446584	256	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBD07BE2B0>
33	0.8466666658719381	0.99	0.9890398947829899	0.9995615957913196	0.8704028034585997	0.9929947460595446	512	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBD7E57EF0>
34	0.8566666658719381	0.99	0.9934239368697939	1.0	0.8616462342584613	0.9947460595446584	512	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBDF589B70>
35	0.85	0.9933333333333333	0.9947391494958352	1.0	0.8704028034585997	0.9912434325744308	512	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBE6C627F0>
36	0.84	0.9933333333333333	0.9877246821830796	1.0	0.8669001747138029	0.9929947460595446	128	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBEE221470>
37	0.8566666674613953	0.99	0.9921087242437527	1.0	0.8791593691095997	0.9929947460595446	128	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBF57A8518>
38	0.8466666658719381	0.99	0.9916703200350724	1.0	0.8721541151691443	0.9912434325744308	128	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBFCD6ED30>
39	0.85	0.9866666666666667	0.9951775537045155	1.0	0.8581436072882337	0.9929947460595446	256	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC043189B0>
40	0.8633333341280619	0.99	0.9925471284524331	0.9995615957913196	0.8528896661021872	0.991243433618295	256	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC0B8D5630>
41	0.8566666666666667	0.9866666666666667	0.9934239368697939	1.0	0.8686514899734857	0.9929947460595446	256	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC12E962B0>
42	0.8500000007947286	0.9866666666666667	0.9921087242437527	1.0	0.8633975477435751	0.9947460595446584	512	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC1A42FEF0>
43	0.8366666666666667	0.9866666666666667	0.9907935116177116	1.0	0.8686514899734857	0.9912434325744308	512	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC219E0B70>
44	0.8400000007947286	0.98	0.9916703200350724	1.0	0.8704028024147354	0.9929947460595446	512	0.75	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC28FAC7F0>
45	0.8533333341280619	0.9866666666666667	0.9938623410784744	1.0	0.8739054293849631	0.9912434325744308	128	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC3056C470>
46	0.8533333333333334	0.9866666666666667	0.9921087242437527	1.0	0.8704028024147354	0.9947460595446584	128	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC37B01EB8>
47	0.8566666666666667	0.9833333333333333	0.9929855326611136	0.9995615957913196	0.8826619978543965	0.9929947460595446	128	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC3C1E6160>
48	0.8566666658719381	0.9833333333333333	0.9934239368697939	1.0	0.8598949215040524	0.9929947471034088	256	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC46617DA0>
49	0.8533333333333334	0.9833333341280619	0.9925471284524331	1.0	0.8686514889296216	0.9964973730297724	256	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC4DBC7A20>
50	0.8533333325386048	0.9866666666666667	0.9921087242437527	1.0	0.8686514899734857	0.9929947460595446	256	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC551636A0>
51	0.8566666658719381	0.9833333333333333	0.9929855326611136	0.9995615957913196	0.8721541169437135	0.991243433618295	512	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC5C710320>
52	0.8333333325386048	0.98	0.9899167032003507	1.0	0.8686514899734857	0.9929947460595446	512	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC63CADF60>
53	0.8566666674613953	0.99	0.9925471284524331	1.0	0.8686514889296216	0.9912434325744308	512	0.75	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EC6B280BE0>
